site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
212,i_dehb_aug,small,1,0.19751399755477905,0.22152133285999298,d5438f9c3742459f,6.606726466954891e-05,160,2,224,0.7057950036181739,False,False,True,False,0.243142,0.085694,0.231158,0.040012,1.6076
212,i_dehb_aug,small,2,0.14021071791648865,0.1790849268436432,757697f14048a6d0,0.00010504814065434272,144,1,80,0.11998868463332411,False,False,False,True,0.018707,0.285763,0.198941,0.139923,1.9337
212,i_dehb_aug,small,3,0.15828680992126465,0.18632306158542633,743f4d64e9d6515a,2.7916792920534145e-05,208,3,224,0.18840438418466274,True,False,False,True,0.078253,0.186643,0.454001,0.433397,2.9036
212,i_dehb_aug,small,4,0.39491522312164307,0.40639081597328186,078912d0436f45a2,2.8380459597763336e-05,192,2,144,0.40214883153244046,True,False,True,True,0.168243,0.062918,0.24097,0.061611,1.9746
212,i_dehb_aug,small,5,0.06801767647266388,0.10200412571430206,9c32f8ef7db847ed,0.00017215841224103078,144,2,176,0.7068952696704754,True,False,False,True,0.342999,0.226196,0.406023,0.404152,2.7032
212,i_dehb_aug,small,6,0.11008698493242264,0.15407857298851013,aeae3861870f47d4,0.00017215841224103078,144,1,144,0.7068952696704754,True,False,True,False,0.094719,0.109439,0.406023,0.061611,1.9746
212,i_dehb_aug,small,7,0.09542034566402435,0.12642700970172882,89f9c8474826d400,0.00017215841224103078,144,3,176,0.7177215092994972,True,False,True,True,0.094719,0.226196,0.401009,0.456593,1.9746
212,i_dehb_aug,small,8,0.12492626160383224,0.15177038311958313,df6b9cc8c6bfdfcf,0.00017215841224103078,192,2,16,0.7068952696704754,False,False,True,True,0.24576,0.226196,0.112216,0.404152,1.9746
212,i_dehb_aug,small,9,0.07142681628465652,0.10686816275119781,c661d607d4a63824,0.00017215841224103078,208,2,256,0.7068952696704754,True,False,False,True,0.342999,0.226196,0.401009,0.404152,1.9746
212,i_dehb_aug,small,10,0.0747586265206337,0.11625373363494873,17d95b1a032ad1fa,0.03604630320302264,144,2,176,0.2362537889755008,True,True,False,True,0.342999,0.427812,0.266333,0.404152,1.8819
